year,km_driven,mileage,engine,max_power,age,make,model,Individual,Trustmark Dealer,Diesel,Electric,LPG,Petrol,Manual,5,>5
2016.0,30000,18.16,1196.0,86.8,7.0,5.858258333333332,4.85,1,0,0,0,0,1,1,1,0
2013.0,66819,16.1,1476.3274007038713,5.0,10.0,4.684721460176991,2.7147619047619047,0,0,0,0,0,1,1,1,0
2017.0,82000,18.44,1198.0,75.0,6.0,4.611877162629757,2.95,0,0,0,0,0,1,1,1,0
2011.0,50000,15.6,1196.0,70.0,12.0,5.858258333333332,2.934285714285714,0,0,0,0,0,1,1,1,0
2011.0,30000,20.92,998.0,67.1,12.0,4.684721460176991,2.242676056338028,1,0,0,0,0,1,1,1,0
2014.0,43000,18.0,1497.0,117.3,9.0,5.9799016301292856,7.1587499999999995,0,0,0,0,0,1,0,1,0
2017.0,75000,23.4,1248.0,74.0,6.0,4.684721460176991,5.282048611111112,0,0,1,0,0,0,1,1,0
2015.0,70000,16.6,1998.0,112.0,8.0,18.52945652173911,17.125,0,0,1,0,0,0,0,1,0
2014.0,65000,23.95,998.0,67.05,9.0,4.684721460176991,3.1449586776859504,1,0,0,0,0,1,1,1,0
2017.0,36000,19.87,1461.0,83.8,6.0,4.606650943396226,7.65,0,0,1,0,0,0,1,1,0
2017.0,80000,17.5,1199.0,88.7,6.0,5.9799016301292856,7.0,1,0,0,0,0,1,1,1,0
2010.0,84000,13.5,2987.0,282.0,13.0,17.07147938144328,20.213749999999965,0,0,1,0,0,0,0,1,0
2013.0,63000,15.1,2179.0,140.0,10.0,7.315421238244514,7.3540909090909095,0,0,1,0,0,0,1,0,1
2016.0,240000,19.1,1197.0,82.0,7.0,5.4588194834362715,3.8625,1,0,0,0,0,1,1,1,0
2015.0,65000,26.0,1498.0,98.6,8.0,5.9799016301292856,5.963454545454546,0,0,1,0,0,0,1,1,0
2007.0,120000,17.92,1086.0,62.1,16.0,5.4588194834362715,1.9092063492063491,1,0,0,0,0,1,1,1,0
2018.0,11000,14.24,2755.0,174.5,5.0,10.532762825904118,20.90249999999996,0,0,1,0,0,0,1,0,1
2013.0,61000,20.46,1461.0,83.8,10.0,4.606650943396226,5.49375,1,0,1,0,0,0,1,1,0
2010.0,60200,17.8,1086.0,63.0,13.0,5.4588194834362715,1.42,1,0,0,0,1,0,1,1,0
2012.0,68000,12.05,2179.0,120.0,11.0,7.315421238244514,4.8100000000000005,0,0,1,0,0,0,1,0,1
2019.0,15000,21.21,1197.0,81.8,4.0,4.684721460176991,6.013225806451612,1,0,0,0,0,1,1,1,0
2018.0,70000,22.0,1197.0,81.8,5.0,4.684721460176991,5.942068965517241,1,0,0,0,0,1,1,1,0
2010.0,51000,16.07,1995.0,181.0,13.0,17.34901656314698,10.92375,0,0,1,0,0,0,0,1,0
2015.0,92380,23.9,1582.0,126.2,8.0,5.4588194834362715,6.976,0,0,1,0,0,0,1,1,0
2009.0,65000,17.0,1497.0,118.0,14.0,5.9799016301292856,3.5320289855072464,0,0,0,0,0,1,1,1,0
2018.0,17500,16.0,1368.0,160.0,5.0,16.261890243902435,14.024000000000001,0,0,0,0,0,1,1,1,0
2014.0,33000,22.74,796.0,47.3,9.0,4.684721460176991,2.646137566137566,0,0,0,0,0,1,1,1,0
2012.0,40607,16.98,998.0,66.1,11.0,4.684721460176991,2.704166666666667,0,0,0,0,0,1,0,1,0
2014.0,62000,20.5,1598.0,103.5,9.0,7.182097156398103,3.3300000000000005,0,0,1,0,0,0,1,1,0
2016.0,5730,17.4,1497.0,117.6,7.0,5.9799016301292856,7.125,0,0,0,0,0,1,1,1,0
